문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
2839,Silver IV,설탕 배달,346968,132944,98890,37.724%,https://www.acmicpc.net/problem/2839
11399,Silver IV,ATM,121364,83376,66208,69.074%,https://www.acmicpc.net/problem/11399
11047,Silver IV,동전 0,157187,84736,64642,52.898%,https://www.acmicpc.net/problem/11047
1931,Silver I,회의실 배정,229682,76009,52589,30.800%,https://www.acmicpc.net/problem/1931
1541,Silver II,잃어버린 괄호,94715,52059,40597,54.351%,https://www.acmicpc.net/problem/1541
1026,Silver IV,보물,65840,44628,37993,69.745%,https://www.acmicpc.net/problem/1026
5585,Bronze II,거스름돈,47436,31184,26570,65.680%,https://www.acmicpc.net/problem/5585
2720,Bronze III,세탁소 사장 동혁,42867,29613,26476,69.789%,https://www.acmicpc.net/problem/2720
2217,Silver IV,로프,71221,31821,25461,43.606%,https://www.acmicpc.net/problem/2217
1789,Silver V,수들의 합,68630,28041,23694,41.643%,https://www.acmicpc.net/problem/1789
13305,Silver III,주유소,72770,28648,22310,38.844%,https://www.acmicpc.net/problem/13305
10162,Bronze III,전자레인지,39891,24341,20704,61.442%,https://www.acmicpc.net/problem/10162
1715,Gold IV,카드 정렬하기,73977,26239,20139,34.770%,https://www.acmicpc.net/problem/1715
16953,Silver II,A → B,60171,24811,19639,39.742%,https://www.acmicpc.net/problem/16953
1439,Silver V,뒤집기,38628,21751,17335,56.539%,https://www.acmicpc.net/problem/1439
1946,Silver I,신입 사원,65786,23031,16752,33.467%,https://www.acmicpc.net/problem/1946
1339,Gold IV,단어 수학,37860,17582,13402,46.152%,https://www.acmicpc.net/problem/1339
1202,Gold II,보석 도둑,78979,19172,13261,22.514%,https://www.acmicpc.net/problem/1202
1744,Gold IV,수 묶기,44706,15462,12361,33.672%,https://www.acmicpc.net/problem/1744
11000,Gold V,강의실 배정,54411,16341,12044,29.457%,https://www.acmicpc.net/problem/11000
1049,Silver IV,기타줄,32925,13634,11790,41.354%,https://www.acmicpc.net/problem/1049
4796,Bronze I,캠핑,33176,13240,11243,39.424%,https://www.acmicpc.net/problem/4796
14916,Silver V,거스름돈,28293,13127,10879,47.024%,https://www.acmicpc.net/problem/14916
1213,Silver III,팰린드롬 만들기,31716,13766,10370,42.590%,https://www.acmicpc.net/problem/1213
1449,Silver III,수리공 항승,24008,11829,9794,49.320%,https://www.acmicpc.net/problem/1449
2864,Bronze II,5와 6의 차이,13521,10069,9144,75.884%,https://www.acmicpc.net/problem/2864
1080,Silver I,행렬,25127,10779,8657,42.778%,https://www.acmicpc.net/problem/1080
1343,Silver V,폴리오미노,18868,10155,8495,53.529%,https://www.acmicpc.net/problem/1343
1138,Silver II,한 줄로 서기,16597,10170,8480,61.857%,https://www.acmicpc.net/problem/1138
2437,Gold II,저울,24194,9916,8074,40.157%,https://www.acmicpc.net/problem/2437
12904,Gold V,A와 B,19421,9227,7648,46.797%,https://www.acmicpc.net/problem/12904
2847,Silver IV,게임을 만든 동준이,15030,8664,7546,57.824%,https://www.acmicpc.net/problem/2847
2812,Gold III,크게 만들기,35358,10220,7404,28.160%,https://www.acmicpc.net/problem/2812
2212,Gold V,센서,17556,8971,7335,50.357%,https://www.acmicpc.net/problem/2212
1700,Gold I,멀티탭 스케줄링,35436,9910,7316,28.503%,https://www.acmicpc.net/problem/1700
11501,Silver II,주식,26098,9322,7245,34.520%,https://www.acmicpc.net/problem/11501
